Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6bUAaVkmBr9xrsWkeTLu03,"4W48hZAnAHVOC2c8WH8pcq","Sweet Disposition","Conditions","The Temper Trap",2009,236466,60,spotify:user:,2024-07-03T04:00:00Z,"indietronica,modern rock,shimmer pop",0.53,0.801,2,-7.27,1,0.0424,0.0725,0.198,0.116,0.314,129.109,4
3AydAydLzyyZutA0375XIz,"5BvJzeQpmsdsFp4HGUYUEx","A-Punk","Vampire Weekend","Vampire Weekend",2008-01-29,137760,68,spotify:user:,2024-07-03T04:00:00Z,"baroque pop,chamber pop,garage rock,indie rock,indietronica,modern rock",0.551,0.819,2,-4.489,1,0.0525,0.0103,0.0437,0.153,0.846,174.917,4
0GgAAB0ZMllFhbNc3mAodO,"67hb7towEyKvt5Z8Bx306c","Half Mast","Walking On A Dream (Special Edition)","Empire Of The Sun",2009-01-01,234360,41,spotify:user:,2024-07-03T04:00:00Z,"australian dance,australian electropop,dance rock,indietronica,neo-synthpop",0.771,0.738,0,-4.88,1,0.0303,0.00423,0.00419,0.501,0.761,126.983,4
0YJ9FWWHn9EfnN0lHwbzvV,"4Z8W4fKeB5YxbusRsdQVPb","Jigsaw Falling Into Place","In Rainbows","Radiohead",2007-12-28,248893,73,spotify:user:,2024-07-03T04:00:00Z,"alternative rock,art rock,melancholia,oxford indie,permanent wave,rock",0.462,0.832,11,-6.085,0,0.0479,0.108,0.00416,0.0741,0.807,165.653,4
1jJci4qxiYcOHhQR247rEU,"0SwO7SWeDHJijQ3XNS7xEE","Kids","Oracular Spectacular","MGMT",2007-12-14,302840,78,spotify:user:,2024-07-03T04:00:00Z,"alternative rock,indie rock,indietronica,modern rock,rock",0.451,0.931,9,-3.871,1,0.0719,0.00076,0.0049,0.361,0.172,122.961,4
4j4pPKE3xAblPIbhxScC1j,"2Tz1DTzVJ5Gyh8ZwVr6ekU","Rawnald Gregory Erickson the Second","Starfucker","STRFKR",2008-09-23,173693,60,spotify:user:,2024-07-03T04:00:00Z,"indie rock,indietronica",0.9,0.538,7,-7.879,1,0.0343,0.229,0.843,0.287,0.713,95.508,4
5uGXVcOINWmyUzpz0lKq7m,"7giUHu5pv6YTZgSkxxCcgh","Home (2019 Remaster)","Up From Below - 10th Anniversary Edition","Edward Sharpe & The Magnetic Zeros",2009-07-07,306373,73,spotify:user:,2024-07-03T04:00:00Z,"la indie,stomp and holler",0.53,0.634,2,-5.759,1,0.0311,0.245,0.000601,0.0978,0.105,111.615,4
0SyOHG2V9CgMSlebbnyoLJ,"4mLJ3XfOM5FPjSAWdQ2Jk7","Heart It Races - Cover Version","Heart It Races (Cover Version)","Dr. Dog",2007-06-05,231880,56,spotify:user:,2024-07-03T04:00:00Z,"chamber pop,indie rock,modern folk rock,philly indie,pov: indie,seattle indie,stomp and holler",0.65,0.694,10,-7.435,1,0.0342,0.463,0.134,0.404,0.775,98.611,4
4prEPl61C8qZpeo3IkYSMl,"7gjAu1qr5C2grXeQFFOGeh","Sleepyhead","Manners","Passion Pit",2009,174760,63,spotify:user:,2024-07-03T04:00:00Z,"indie rock,indietronica,modern rock,neo-synthpop,shimmer pop",0.568,0.719,8,-5.406,1,0.0354,0.0892,0.00000184,0.233,0.539,106.036,4
2SGBEDwsOAOAHrrdAd304i,"1GLtl8uqKmnyCWxHmw9tL4","She Moves In Her Own Way","Inside In / Inside Out","The Kooks",2006-01-01,169306,58,spotify:user:,2024-07-03T04:00:00Z,"brighton indie,garage rock,modern rock,rock",0.431,0.81,7,-5.379,1,0.066,0.276,0,0.0906,0.795,76.412,4
